topic_group,entity,source,url,status,extraction_method,quality,words,chunks,raw_path,error
Drug Safety,Warfarin,MedlinePlus Drug Information,https://medlineplus.gov/druginfo/meds/a682277.html,success,crawl4ai,good,2435,4,data\rag_raw\drug-safety__warfarin__735e158fbd.md,
Drug Safety,Metformin,MedlinePlus Drug Information,https://medlineplus.gov/druginfo/meds/a696005.html,success,jina_reader,fallback_partial:missing_sections:0.17,1856,4,data\rag_raw\drug-safety__metformin__299619ef95.md,crawl4ai poor extraction: missing_sections:0.17
Drug Safety,Insulin,MedlinePlus Drug Information,https://medlineplus.gov/druginfo/meds/a682611.html,success,jina_reader,fallback_partial:missing_sections:0.17,2253,4,data\rag_raw\drug-safety__insulin__956c1377a1.md,crawl4ai poor extraction: missing_sections:0.17
Drug Safety,Acetaminophen,MedlinePlus Drug Information,https://medlineplus.gov/druginfo/meds/a681004.html,success,crawl4ai,good,2343,4,data\rag_raw\drug-safety__acetaminophen__93a935b3d2.md,
Drug Safety,Aspirin,MedlinePlus Drug Information,https://medlineplus.gov/druginfo/meds/a682878.html,success,crawl4ai,good,2649,4,data\rag_raw\drug-safety__aspirin__41bb8786c7.md,
Drug Safety,Digoxin,MedlinePlus Drug Information,https://medlineplus.gov/druginfo/meds/a682301.html,success,jina_reader,fallback_partial:missing_sections:0.17,1058,2,data\rag_raw\drug-safety__digoxin__1de453eba7.md,crawl4ai poor extraction: missing_sections:0.17
Drug Safety,Phenytoin,MedlinePlus Drug Information,https://medlineplus.gov/druginfo/meds/a682022.html,success,crawl4ai,good,2623,5,data\rag_raw\drug-safety__phenytoin__c5d80a1b39.md,
Drug Safety,Rifampin,MedlinePlus Drug Information,https://medlineplus.gov/druginfo/meds/a682403.html,success,jina_reader,fallback_partial:missing_sections:0.17,1524,3,data\rag_raw\drug-safety__rifampin__f42d557b0d.md,crawl4ai poor extraction: missing_sections:0.17
Drug Safety,Ibuprofen,MedlinePlus Drug Information,https://medlineplus.gov/druginfo/meds/a682159.html,success,crawl4ai,good,3223,6,data\rag_raw\drug-safety__ibuprofen__709374dd62.md,
Drug Safety,Amoxicillin,MedlinePlus Drug Information,https://medlineplus.gov/druginfo/meds/a685001.html,success,crawl4ai,good,1922,3,data\rag_raw\drug-safety__amoxicillin__8a49e0bb70.md,
Disease Knowledge,Chronic Kidney Disease,MedlinePlus,https://medlineplus.gov/chronickidneydisease.html,success,crawl4ai,good,2357,2,data\rag_raw\disease-knowledge__chronic-kidney-disease__77d088efe4.md,
Disease Knowledge,Liver Disease,MedlinePlus,https://medlineplus.gov/liverdiseases.html,success,crawl4ai,good,2990,3,data\rag_raw\disease-knowledge__liver-disease__98deffde90.md,
Disease Knowledge,Diabetes,MedlinePlus,https://medlineplus.gov/diabetes.html,success,crawl4ai,good,3826,5,data\rag_raw\disease-knowledge__diabetes__8df2d9097a.md,
Disease Knowledge,Hypertension,MedlinePlus,https://medlineplus.gov/highbloodpressure.html,success,crawl4ai,good,3443,4,data\rag_raw\disease-knowledge__hypertension__4ed7126a0c.md,
Disease Knowledge,Heart Failure,MedlinePlus,https://medlineplus.gov/heartfailure.html,success,crawl4ai,good,3679,4,data\rag_raw\disease-knowledge__heart-failure__f16a73dfa4.md,
Disease Knowledge,Asthma,MedlinePlus,https://medlineplus.gov/asthma.html,success,crawl4ai,good,3963,5,data\rag_raw\disease-knowledge__asthma__c547eee294.md,
Disease Knowledge,Epilepsy,MedlinePlus,https://medlineplus.gov/epilepsy.html,success,crawl4ai,good,2258,2,data\rag_raw\disease-knowledge__epilepsy__33efeda99b.md,
Disease Knowledge,Arrhythmia,MedlinePlus,https://medlineplus.gov/arrhythmia.html,success,crawl4ai,good,3417,4,data\rag_raw\disease-knowledge__arrhythmia__e4fe40fa59.md,
Disease Knowledge,Anemia,MedlinePlus,https://medlineplus.gov/anemia.html,success,crawl4ai,good,3199,3,data\rag_raw\disease-knowledge__anemia__a22b4ba99d.md,
Disease Knowledge,Peptic Ulcer Disease,MedlinePlus,https://medlineplus.gov/pepticulcer.html,success,crawl4ai,good,1737,2,data\rag_raw\disease-knowledge__peptic-ulcer-disease__268417222d.md,
